Address,Flag,Total Ether Balance,Total Transactions (including contract creation),Time Difference First-Last (min),Avg Min Between Sent Tnx,Avg Min Between Received Tnx,Sent Transactions,Received Transactions,Unique Received From Addresses,Unique Sent To Addresses,Min Value Received,Max Value Received,Avg Value Received,Min Value Sent,Max Value Sent,Avg Value Sent,Total Ether Sent,Total Ether Received,Total ERC20 Transactions,ERC20 Total Ether Received,ERC20 Total Ether Sent,ERC20 Unique Sent Addresses,ERC20 Unique Received Addresses,ERC20 Avg Time Between Sent Txn (min),ERC20 Avg Time Between Received Txn (min),ERC20 Min Value Received,ERC20 Max Value Received,ERC20 Avg Value Received,ERC20 Min Value Sent,ERC20 Max Value Sent,ERC20 Avg Value Sent,ERC20 Unique Sent Token Names,ERC20 Unique Received Token Names,ERC20 Most Sent Token Type,ERC20 Most Received Token Type,Avg Gas Price (Gwei),Avg Gas Limit (Gwei),Avg Gas Used (Gwei),Avg Gas Fee (Gwei),Avg Transaction Fee (Gwei),Gas Price Volatility (Gwei),Max Gas Volatility (Gwei),Min Gas Volatility (Gwei),Transaction Frequency (min),Gas Efficiency Ratio (%),Transaction Success-Failure Ratio,Avg Max Fee (Gwei),Avg Priority Fee (Gwei),Avg Base Fee (Gwei),Max Base Fee (Gwei),Min Base Fee (Gwei),Avg Gas Fee,Max Gas Fee,Avg Priority Fee,Max Priority Fee,Gas Price Volatility
0x002bf459dc58584d58886169ea0e80f3ca95ffaf,1,0.01,3,1927560.15,0.0,642520.0333333333,0,3,3,0,0.01,1.337,0.8946666666666666,0.0,0.0,0.0,0.0,2.684,3,2.684,0.0,0,3,0.0,642520.05,0.01,1.337,0.8946666666666666,0.0,0.0,0.0,0,3,0,Blockwell say NOTSAFU,38.0,2.1e-05,2.1e-05,0.000798,44763076.19935495,39.0,50.0,11.0,9622.533333333333,100.0,4.0,45.77200533849947,6.268314201555369,15.769522397836246,30.933223816207395,5.833516287198563,0.084,1.9183,0.0563,0.5957,0.1592
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,1,6.5260085289e-05,1,0.0,0.0,0.0,0,1,1,0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.337,1,1.337,0.0,0,1,0.0,0.0,1.337,1.337,1.337,0.0,0.0,0.0,0,1,0,Blockwell say NOTSAFU,20.6299458255,2.633333333333333e-05,2.1e-05,0.0004332288623355,11267090.291152,50.3,51.0,0.7,2497418.933333333,79.74683544303798,6.0,19.223428209388587,1.7024932613803296,7.063290283020513,12.784426261858382,2.4655204298714577,0.12,2.4726,0.1787,0.9044,0.8887
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,1,0.01,97,793191.6833333333,3073.439855072464,10718.789864864864,23,74,56,6,1e-15,26436.081,1928.0862552179497,1e-11,81324.0746,5232.816018336198,120354.76842173254,142678.38288612827,97,142678.38288612827,120354.76842173254,6,56,3073.4565217391305,10718.80653153153,1e-15,26436.081,1928.0862552179497,1e-11,81324.0746,5232.816018336198,22,38,OCoin,OCoin,33.960629921259844,4.912102362204731e-05,2.4049385826771648e-05,0.0008167322918965,1653628.5,76.0,90.0,14.0,73091.0,48.959455755269325,62.5,56.25766376865664,8.545552710015548,19.08767391381057,38.165002606488045,7.159108820706597,0.3267,1.4331,0.3885,0.6261,0.1564
0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,1,7e-06,2,2051351.183333333,0.0,1025675.575,0,2,2,0,0.01,14.0,7.005,0.0,0.0,0.0,0.0,14.01,2,14.01,0.0,0,2,0.0,1025675.5916666668,0.01,14.0,7.005,0.0,0.0,0.0,0,2,0,ELF,12.0,2.1e-05,2.1e-05,0.000252,43186634.16303625,31.0,32.0,1.0,118258.71666666666,100.0,3.0,186.02523098483775,51.53261927468531,57.75672500430467,129.02400932558817,23.46723278744109,0.3572,1.6069,0.0634,1.2195,0.7906
0x0084515449b037205a33d6d3940a5684126aa4b5,1,0.0003249069432716,1,0.0,0.0,0.0,0,1,1,0,13.37,13.37,13.37,0.0,0.0,0.0,0.0,13.37,1,13.37,0.0,0,1,0.0,0.0,13.37,13.37,13.37,0.0,0.0,0.0,0,1,0,Blockwell say NOTSAFU,40.02818181818182,7.518181818181816e-05,2.1e-05,0.0008405918181818,11953213.111111112,85.69,88.0,2.31,1837026.4666666663,27.932285368802905,11.0,16.862981305567008,1.3983085110946911,6.256515081903633,11.187459585421095,2.164845945332136,0.2236,1.4382,0.1934,1.4875,0.6563
0x008f3db10374099a11ec263415cb88c952abeedc,1,0.0,1,0.0,0.0,0.0,0,1,1,0,1386.486551512466,1386.486551512466,1386.486551512466,0.0,0.0,0.0,0.0,1386.486551512466,1,1386.486551512466,0.0,0,1,0.0,0.0,1386.486551512466,1386.486551512466,1386.486551512466,0.0,0.0,0.0,0,1,0,XENON,24.461538461692307,0.0001645385384615,2.1e-05,0.0005136923076955,785931.5833403333,42.0,50.0,8.0,53728.05,12.76296738524198,13.0,16.863359561269,1.3983556357158533,6.256645008708444,11.18771517841716,2.1648941511810325,0.2755,0.7856,0.1566,0.4264,0.8969
0x00d07f8c2194f14c8d694680f2b8c0be66d4d5e9,1,0.0006830034256036,2,1923965.2666666664,0.0,961982.6166666668,0,2,2,0,0.01,13.37,6.69,0.0,0.0,0.0,0.0,13.38,2,13.38,0.0,0,2,0.0,961982.6333333332,0.01,13.37,6.69,0.0,0.0,0.0,0,2,0,Blockwell say NOTSAFU,23.0,2.1e-05,2.1e-05,0.000483,35217209.09781581,0.0,23.0,23.0,0.0,100.0,1.0,200.8669204233995,57.83193694033989,62.01052889700832,139.51607078299972,25.325344960313217,0.094,1.6409,0.2312,0.8998,0.132
0x00e01a648ff41346cdeb873182383333d2184dd1,1,0.2422286850663733,54,3256860.05,1.5611111111111111,63859.98431372549,3,51,38,1,7.77e-16,20180.614,585.5793357177167,2.5e-07,208.73504509262887,69.5783502589483,208.7350507768449,29864.546121603555,54,29864.546121603555,208.7350507768449,1,38,1.577777777777778,63860.00098039216,7.77e-16,20180.614,585.5793357177167,2.5e-07,208.73504509262887,69.5783502589483,3,34,EOS,FIFA.win,33.45945945945946,2.834083783783784e-05,2.40975945945946e-05,0.0008062924894083,911204.8,89.0,99.0,10.0,429867.15,85.0278129830795,17.5,66.25733587590283,10.926737357358718,22.20920180980992,45.08508676672193,8.42157164579774,0.2469,0.889,0.3616,1.1503,0.4213
0x00eb6f5199cd0b671da371969b1a0f948e982fea,1,0.014785999999994,4,476026.8,0.0,119006.68333333332,0,4,4,0,9.11e-16,99.0,25.4185,0.0,0.0,0.0,0.0,101.674,4,101.674,0.0,0,4,0.0,119006.7,9.11e-16,99.0,25.4185,0.0,0.0,0.0,0,4,0,ERC20,42.72154017858333,4.705833333333332e-05,2.100016666666668e-05,0.0008971594640069,922950.0,157.4857143,166.2857143,8.8,1490247.5333333334,44.62581901894814,24.0,12.226577898620288,0.8626228671497189,4.645837981207849,8.063381090031667,1.573315040447942,0.1721,1.0798,0.2698,0.593,0.3192
0x015fca1d09287823e634ae51237ee1eeff03d9d5,1,6e-05,1,0.0,0.0,0.0,0,1,1,0,13.37,13.37,13.37,0.0,0.0,0.0,0.0,13.37,1,13.37,0.0,0,1,0.0,0.0,13.37,13.37,13.37,0.0,0.0,0.0,0,1,0,Blockwell say NOTSAFU,12.5375,2.93e-05,2.1e-05,0.0002632874999999,25171889.5,22.0,23.0,1.0,15991.883333333331,71.67235494880545,4.0,48.730731838849664,6.886857137357423,16.71102060287943,32.97097318282113,6.20776191547475,0.2196,1.3823,0.387,0.6071,0.9098
